Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,11,0,0,0,0
3,26,0,0,0,0
4,31,0,0,0,1
5,43,0,0,0,1
6,46,0,0,0,1
7,57,0,0,0,1
8,84,0,0,0,5
9,104,0,0,0,9
10,120,0,0,0,12
11,163,0,0,0,13
12,178,0,0,0,15
13,213,0,0,0,17
14,242,0,0,0,24
15,257,0,0,0,31
16,258,0,0,0,32
17,272,0,0,0,37
18,278,0,0,0,44
19,284,0,0,0,54
20,315,1,0,0,67
21,337,1,0,0,77
22,338,6,0,0,97
23,364,13,0,0,109
24,379,20,0,0,131
25,404,31,0,0,152
26,420,37,0,0,166
27,433,45,0,0,184
28,440,64,0,0,208
29,455,87,0,0,218
30,474,102,0,0,245
31,482,117,0,0,259
32,498,146,0,0,276
33,499,179,0,0,296
34,523,208,0,0,312
35,543,226,0,0,332
36,585,238,0,0,357
37,609,258,0,0,383
38,639,269,0,0,420
39,658,282,0,0,443
40,670,293,0,0,465
41,695,302,0,0,490
42,716,313,0,0,519
43,738,336,0,0,547
44,758,355,0,0,573
45,786,375,0,0,598
46,795,386,0,0,625
47,819,406,0,0,648
48,830,424,0,0,674
49,854,436,0,0,696
50,873,449,0,0,714
51,887,463,0,0,732
52,919,478,0,0,755
53,952,489,0,0,782
54,977,507,0,0,805
55,996,526,0,0,827
56,1025,545,0,0,855
57,1051,562,0,0,879
58,1073,595,0,0,898
59,1093,622,0,0,919
60,1094,650,0,0,931
61,1108,675,0,0,946
62,1121,686,0,0,956
63,1151,701,0,0,975
64,1178,723,0,0,995
65,1194,745,0,0,1014
66,1209,768,0,0,1026
67,1236,785,0,0,1052
68,1263,804,0,0,1071
69,1271,819,0,0,1087
70,1303,841,0,0,1107
71,1309,858,0,0,1123
72,1335,878,0,0,1136
73,1337,905,0,0,1153
74,1349,933,0,0,1168
75,1376,964,0,0,1179
76,1401,987,0,0,1196
77,1419,1011,0,0,1215
78,1454,1037,0,0,1240
79,1477,1059,0,0,1255
80,1488,1075,0,0,1278
81,1515,1090,0,0,1302
82,1557,1102,0,0,1329
83,1580,1119,0,0,1351
84,1606,1139,0,0,1379
85,1631,1157,0,0,1396
86,1647,1178,0,0,1415
87,1667,1199,0,0,1430
88,1690,1219,0,0,1447
89,1719,1241,0,0,1465
90,1734,1268,0,0,1479
91,1749,1287,0,0,1489
92,1754,1299,0,0,1494
93,1782,1315,0,0,1508
94,1801,1331,0,0,1517
95,1806,1351,0,0,1528
96,1807,1369,0,0,1536
97,1819,1383,0,0,1544
98,1846,1407,0,0,1552
99,1858,1428,0,0,1564
100,1883,1428,0,0,1564
