Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,20,0,4,0,0
2,30,0,3,2,0
3,45,0,3,2,0
4,49,0,4,2,0
5,61,0,3,3,0
6,64,0,3,3,0
7,75,0,3,3,0
8,98,0,6,4,0
9,114,0,10,4,0
10,127,0,13,4,0
11,169,0,13,5,0
12,182,0,15,5,0
13,215,0,17,5,0
14,236,0,23,7,0
15,244,0,29,8,0
16,244,0,29,9,0
17,253,0,30,13,0
18,251,0,37,14,0
19,247,0,45,16,0
20,262,0,59,17,0
21,274,0,64,22,0
22,251,0,79,26,0
23,260,0,78,37,0
24,251,0,92,40,0
25,250,0,100,47,0
26,249,0,105,53,0
27,239,0,109,64,0
28,213,0,107,80,0
29,205,0,100,87,0
30,187,0,113,96,0
31,176,0,111,102,0
32,161,0,112,103,0
33,129,0,114,101,0
34,123,0,112,104,0
35,119,0,115,107,0
36,132,0,124,115,0
37,125,0,140,110,0
38,116,0,162,116,0
39,110,0,166,124,0
40,98,0,174,129,0
41,97,0,179,141,0
42,88,0,186,153,0
43,80,0,191,155,0
44,74,0,186,167,0
45,76,0,181,178,0
46,57,0,179,197,0
47,57,0,181,199,0
48,42,0,182,206,0
49,44,0,186,212,0
50,37,0,188,223,0
51,29,0,192,227,0
52,37,0,191,237,0
53,41,0,200,246,0
54,42,0,199,253,0
55,36,0,195,263,0
56,35,0,202,267,0
57,35,0,207,271,0
58,35,0,205,262,0
59,34,0,202,259,0
60,22,0,195,251,0
61,20,0,185,252,0
62,22,0,180,257,0
63,29,0,184,261,0
64,32,0,183,264,0
65,27,0,188,258,0
66,30,0,175,260,0
67,31,0,183,261,0
68,38,0,179,266,0
69,29,0,175,272,0
70,38,0,175,273,0
71,28,0,176,271,0
72,41,0,167,273,0
73,26,0,159,271,0
74,22,0,159,259,0
75,38,0,143,255,0
76,46,0,142,250,0
77,45,0,148,239,0
78,53,0,161,227,0
79,59,0,161,222,0
80,47,0,162,228,0
81,50,0,167,232,0
82,61,0,174,244,0
83,60,0,180,245,0
84,56,0,189,246,0
85,60,0,185,253,0
86,51,0,196,246,0
87,55,0,192,245,0
88,52,0,194,249,0
89,52,0,199,251,0
90,48,0,198,244,0
91,47,0,193,246,0
92,43,0,179,257,0
93,52,0,170,269,0
94,60,0,165,269,0
95,54,0,157,268,0
96,47,0,143,272,0
97,51,0,133,276,0
98,68,0,132,263,0
99,68,0,124,262,0
100,93,0,124,262,0
