Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,40,0,0,0,0
3,50,0,0,0,0
4,68,0,0,0,0
5,87,0,0,0,0
6,108,0,0,0,0
7,109,0,0,0,1
8,129,0,0,0,2
9,155,0,0,0,4
10,174,0,0,0,9
11,201,0,0,0,12
12,232,0,0,0,14
13,268,0,0,0,18
14,302,0,0,0,23
15,308,0,0,0,29
16,338,0,0,0,36
17,371,0,0,0,50
18,388,0,0,0,56
19,396,1,0,0,67
20,411,3,0,0,86
21,431,10,0,0,102
22,447,16,0,0,114
23,479,26,0,0,123
24,509,48,0,0,137
25,516,68,0,0,147
26,534,85,0,0,167
27,563,100,0,0,185
28,565,119,0,0,204
29,567,139,0,0,223
30,584,156,0,0,238
31,625,176,0,0,252
32,639,202,0,0,265
33,645,226,0,0,272
34,673,252,0,0,279
35,690,281,0,0,292
36,718,307,0,0,308
37,719,325,0,0,320
38,735,350,0,0,328
39,761,368,0,0,349
40,777,391,0,0,364
41,785,408,0,0,374
42,804,433,0,0,385
43,835,446,0,0,398
44,839,462,0,0,412
45,840,481,0,0,424
46,846,500,0,0,435
47,875,524,0,0,450
48,902,542,0,0,476
49,927,556,0,0,494
50,960,570,0,0,507
51,968,588,0,0,519
52,980,607,0,0,526
53,1007,622,0,0,540
54,1027,638,0,0,557
55,1028,656,0,0,571
56,1055,682,0,0,584
57,1068,705,0,0,605
58,1086,722,0,0,615
59,1111,735,0,0,632
60,1112,750,0,0,637
61,1122,767,0,0,651
62,1151,781,0,0,663
63,1174,796,0,0,685
64,1203,812,0,0,703
65,1228,831,0,0,719
66,1242,845,0,0,737
67,1258,861,0,0,750
68,1302,882,0,0,768
69,1321,903,0,0,786
70,1358,928,0,0,805
71,1369,947,0,0,823
72,1406,960,0,0,845
73,1431,979,0,0,863
74,1445,996,0,0,881
75,1452,1012,0,0,895
76,1476,1030,0,0,907
77,1499,1046,0,0,915
78,1528,1064,0,0,925
79,1548,1080,0,0,933
80,1568,1102,0,0,942
81,1602,1116,0,0,953
82,1628,1133,0,0,977
83,1649,1151,0,0,988
84,1676,1167,0,0,1004
85,1703,1188,0,0,1026
86,1736,1210,0,0,1039
87,1752,1240,0,0,1048
88,1762,1271,0,0,1053
89,1785,1293,0,0,1058
90,1798,1315,0,0,1068
91,1820,1340,0,0,1073
92,1841,1365,0,0,1087
93,1849,1390,0,0,1097
94,1875,1411,0,0,1104
95,1882,1430,0,0,1116
96,1902,1453,0,0,1125
97,1930,1477,0,0,1141
98,1960,1495,0,0,1147
99,1966,1518,0,0,1156
100,1977,1518,0,0,1156
