Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,20,0,4,0,0
2,38,0,7,1,0
3,56,0,7,2,0
4,87,0,7,4,0
5,106,0,8,6,0
6,127,0,11,7,0
7,157,0,12,9,0
8,159,0,12,9,0
9,189,0,18,9,0
10,198,0,23,12,0
11,206,0,29,12,0
12,214,0,33,15,0
13,211,0,31,21,0
14,214,0,36,27,0
15,223,0,31,37,0
16,227,0,34,43,0
17,238,0,37,47,0
18,225,0,49,50,0
19,222,0,57,55,0
20,220,0,62,62,0
21,228,0,67,71,0
22,213,0,69,77,0
23,195,0,68,85,0
24,182,0,82,86,0
25,157,0,97,85,0
26,141,0,109,86,0
27,128,0,126,81,0
28,123,0,126,85,0
29,121,0,132,88,0
30,100,0,126,92,0
31,112,0,123,96,0
32,105,0,123,96,0
33,117,0,122,98,0
34,113,0,120,104,0
35,125,0,130,111,0
36,106,0,129,125,0
37,112,0,137,135,0
38,96,0,147,139,0
39,82,0,156,145,0
40,85,0,171,151,0
41,70,0,179,157,0
42,59,0,164,177,0
43,52,0,161,195,0
44,36,0,162,206,0
45,37,0,153,220,0
46,39,0,164,224,0
47,24,0,159,224,0
48,25,0,158,221,0
49,23,0,152,219,0
50,22,0,144,221,0
51,21,0,129,221,0
52,20,0,139,225,0
53,26,0,137,224,0
54,24,0,142,219,0
55,25,0,146,218,0
56,23,0,140,214,0
57,32,0,138,212,0
58,21,0,136,208,0
59,25,0,123,212,0
60,29,0,120,206,0
61,19,0,125,200,0
62,13,0,124,203,0
63,21,0,127,199,0
64,19,0,126,196,0
65,23,0,128,192,0
66,25,0,136,192,0
67,26,0,137,198,0
68,39,0,149,198,0
69,38,0,155,199,0
70,35,0,157,204,0
71,35,0,162,204,0
72,39,0,163,208,0
73,29,0,182,212,0
74,34,0,183,204,0
75,42,0,185,212,0
76,39,0,194,212,0
77,26,0,191,217,0
78,28,0,179,223,0
79,22,0,165,230,0
80,32,0,161,243,0
81,32,0,160,243,0
82,42,0,161,240,0
83,51,0,183,235,0
84,36,0,198,242,0
85,32,0,187,247,0
86,32,0,192,258,0
87,29,0,183,262,0
88,31,0,172,275,0
89,30,0,169,269,0
90,26,0,151,264,0
91,31,0,149,254,0
92,49,0,149,243,0
93,38,0,151,234,0
94,45,0,147,227,0
95,38,0,137,222,0
96,46,0,142,223,0
97,42,0,131,217,0
98,51,0,126,210,0
99,47,0,140,209,0
100,48,0,140,209,0
