Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,38,0,0,0,0
3,63,0,0,0,0
4,92,0,0,0,0
5,114,0,0,0,0
6,116,0,0,0,0
7,143,0,0,0,0
8,156,0,0,0,0
9,187,0,0,0,1
10,192,0,0,0,1
11,220,0,0,0,2
12,246,0,0,0,2
13,279,0,0,0,2
14,280,0,0,0,2
15,293,0,0,0,4
16,314,0,0,0,4
17,330,0,0,0,4
18,345,0,0,0,4
19,366,0,0,0,4
20,395,1,0,0,4
21,415,8,0,0,4
22,429,24,0,0,6
23,450,41,0,0,6
24,477,61,0,0,7
25,500,88,0,0,7
26,534,106,0,0,7
27,560,124,0,0,8
28,572,140,0,0,8
29,597,154,0,0,8
30,614,171,0,0,8
31,640,186,0,0,10
32,655,212,0,0,10
33,670,228,0,0,11
34,702,251,0,0,11
35,722,267,0,0,12
36,760,288,0,0,13
37,788,305,0,0,14
38,801,321,0,0,16
39,831,342,0,0,16
40,853,358,0,0,16
41,875,379,0,0,17
42,898,403,0,0,18
43,912,422,0,0,18
44,931,440,0,0,18
45,942,453,0,0,19
46,957,484,0,0,19
47,968,512,0,0,20
48,992,530,0,0,21
49,1017,555,0,0,21
50,1038,580,0,0,21
51,1057,610,0,0,23
52,1077,633,0,0,23
53,1099,646,0,0,23
54,1116,663,0,0,23
55,1138,684,0,0,23
56,1141,715,0,0,24
57,1169,737,0,0,24
58,1187,767,0,0,24
59,1209,792,0,0,24
60,1233,818,0,0,25
61,1255,841,0,0,27
62,1278,866,0,0,27
63,1300,891,0,0,27
64,1324,902,0,0,28
65,1351,912,0,0,30
66,1365,924,0,0,30
67,1377,949,0,0,31
68,1401,970,0,0,31
69,1421,988,0,0,32
70,1422,1010,0,0,32
71,1423,1028,0,0,33
72,1443,1041,0,0,33
73,1467,1065,0,0,34
74,1473,1088,0,0,34
75,1488,1104,0,0,34
76,1500,1120,0,0,34
77,1519,1144,0,0,34
78,1538,1169,0,0,34
79,1554,1178,0,0,35
80,1562,1196,0,0,35
81,1566,1218,0,0,35
82,1597,1250,0,0,36
83,1620,1277,0,0,36
84,1648,1300,0,0,37
85,1660,1317,0,0,37
86,1678,1339,0,0,38
87,1692,1352,0,0,38
88,1703,1372,0,0,38
89,1719,1388,0,0,39
90,1730,1405,0,0,39
91,1751,1419,0,0,39
92,1776,1429,0,0,39
93,1810,1440,0,0,39
94,1838,1457,0,0,39
95,1850,1470,0,0,41
96,1873,1488,0,0,41
97,1898,1503,0,0,41
98,1919,1517,0,0,41
99,1937,1524,0,0,41
100,1970,1524,0,0,41
