Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,20,0,4,0,0
2,36,0,3,1,0
3,61,0,2,2,0
4,65,0,1,3,0
5,74,1,0,4,0
6,85,1,0,4,0
7,115,0,1,4,0
8,139,0,1,4,0
9,163,0,1,4,0
10,195,0,0,5,0
11,206,0,0,5,0
12,207,1,0,5,0
13,234,1,0,5,0
14,252,1,0,5,0
15,263,0,1,5,0
16,282,0,1,5,0
17,308,1,1,5,0
18,340,1,2,5,0
19,357,1,2,5,0
20,360,2,1,6,0
21,387,1,2,6,0
22,401,1,3,6,0
23,412,1,2,7,0
24,430,1,2,7,0
25,448,0,3,7,0
26,452,2,2,8,0
27,464,2,2,8,0
28,470,3,2,8,0
29,476,4,2,9,0
30,453,4,3,8,0
31,450,3,4,8,0
32,447,4,6,7,0
33,459,2,7,8,0
34,467,3,6,10,0
35,459,3,7,10,0
36,472,1,8,9,0
37,478,1,7,9,0
38,475,0,7,9,0
39,481,1,6,9,0
40,490,5,7,7,0
41,494,4,8,7,0
42,493,3,9,5,0
43,476,3,6,6,0
44,473,3,5,6,0
45,498,2,6,7,0
46,485,5,6,8,0
47,472,4,8,8,0
48,445,3,8,8,0
49,437,4,5,9,0
50,425,5,6,8,0
51,437,4,7,8,0
52,439,5,8,8,0
53,427,7,10,7,0
54,439,6,12,7,0
55,467,5,11,10,0
56,458,4,10,12,0
57,464,1,12,12,0
58,457,1,11,12,0
59,455,2,9,10,0
60,457,4,7,11,0
61,454,5,6,12,0
62,461,5,7,12,0
63,483,5,8,12,0
64,472,4,8,12,0
65,473,4,7,13,0
66,501,3,7,13,0
67,495,4,7,13,0
68,503,3,9,12,0
69,518,3,9,12,0
70,515,4,7,11,0
71,524,4,7,12,0
72,529,2,8,12,0
73,546,0,9,12,0
74,537,0,8,11,0
75,541,0,6,13,0
76,534,1,6,13,0
77,525,1,4,13,0
78,516,2,3,13,0
79,499,2,3,13,0
80,518,1,3,14,0
81,507,1,3,14,0
82,496,1,2,14,0
83,474,2,0,14,0
84,486,2,0,13,0
85,476,1,1,13,0
86,458,1,1,12,0
87,457,1,1,11,0
88,453,3,1,10,0
89,451,2,2,10,0
90,444,2,2,10,0
91,460,1,2,9,0
92,443,1,2,9,0
93,459,1,2,9,0
94,454,1,2,9,0
95,450,2,2,8,0
96,444,3,2,8,0
97,434,4,3,8,0
98,449,2,4,8,0
99,462,1,5,8,0
100,477,1,5,8,0
