Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,38,0,0,0,0
3,56,0,0,0,0
4,83,0,0,0,0
5,89,0,0,0,0
6,100,0,0,0,0
7,112,0,0,0,0
8,137,0,0,0,0
9,146,0,0,0,1
10,167,0,0,0,1
11,190,0,0,0,2
12,205,0,0,0,2
13,227,0,0,0,3
14,234,0,0,0,3
15,274,0,0,0,4
16,284,0,0,0,4
17,293,0,0,0,4
18,312,0,0,0,4
19,332,0,0,0,4
20,351,3,0,0,4
21,372,10,0,0,4
22,391,17,0,0,5
23,422,38,0,0,5
24,449,57,0,0,5
25,477,70,0,0,5
26,492,82,0,0,5
27,510,101,0,0,5
28,526,113,0,0,6
29,550,130,0,0,6
30,562,151,0,0,7
31,587,162,0,0,7
32,595,182,0,0,7
33,604,199,0,0,8
34,634,215,0,0,9
35,647,230,0,0,9
36,655,255,0,0,10
37,674,270,0,0,10
38,690,289,0,0,12
39,704,307,0,0,13
40,736,322,0,0,13
41,756,346,0,0,14
42,776,363,0,0,14
43,799,388,0,0,15
44,819,411,0,0,15
45,838,439,0,0,15
46,861,464,0,0,15
47,886,483,0,0,15
48,901,506,0,0,16
49,905,521,0,0,16
50,914,542,0,0,19
51,951,566,0,0,19
52,975,575,0,0,19
53,998,585,0,0,19
54,1026,601,0,0,19
55,1048,617,0,0,20
56,1066,635,0,0,20
57,1087,655,0,0,20
58,1091,672,0,0,20
59,1092,691,0,0,21
60,1094,714,0,0,21
61,1119,729,0,0,21
62,1142,752,0,0,21
63,1150,780,0,0,21
64,1159,798,0,0,22
65,1174,816,0,0,22
66,1175,834,0,0,23
67,1204,852,0,0,24
68,1229,869,0,0,24
69,1246,887,0,0,25
70,1275,901,0,0,26
71,1292,926,0,0,26
72,1310,945,0,0,26
73,1326,968,0,0,27
74,1347,991,0,0,28
75,1361,1013,0,0,28
76,1393,1035,0,0,28
77,1412,1061,0,0,29
78,1446,1073,0,0,29
79,1452,1082,0,0,29
80,1466,1089,0,0,29
81,1490,1101,0,0,31
82,1519,1113,0,0,31
83,1538,1130,0,0,31
84,1555,1140,0,0,31
85,1570,1150,0,0,31
86,1571,1167,0,0,32
87,1596,1181,0,0,32
88,1633,1196,0,0,32
89,1659,1223,0,0,33
90,1684,1239,0,0,33
91,1714,1259,0,0,33
92,1725,1284,0,0,33
93,1727,1304,0,0,33
94,1748,1321,0,0,33
95,1765,1341,0,0,33
96,1780,1362,0,0,35
97,1786,1383,0,0,36
98,1799,1401,0,0,37
99,1817,1426,0,0,37
100,1845,1426,0,0,37
