Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,20,0,4,0,0
2,33,0,4,0,0
3,51,0,4,0,0
4,67,0,4,0,0
5,94,0,4,0,0
6,126,0,3,1,0
7,140,0,3,1,0
8,158,0,3,1,0
9,182,0,3,1,0
10,192,0,3,1,0
11,202,0,3,1,0
12,211,0,3,1,0
13,230,0,2,2,0
14,248,0,2,2,0
15,266,0,3,2,0
16,291,0,3,2,0
17,327,0,2,3,0
18,342,0,2,3,0
19,361,0,3,3,0
20,382,0,2,4,0
21,403,0,3,4,0
22,410,0,3,4,0
23,440,0,4,4,0
24,432,0,4,3,0
25,429,0,5,3,0
26,427,0,6,3,0
27,433,0,6,3,0
28,430,0,8,3,0
29,428,0,9,3,0
30,434,0,9,4,0
31,447,0,8,4,0
32,457,0,6,6,0
33,480,0,7,5,0
34,473,0,7,5,0
35,491,0,8,5,0
36,492,0,8,6,0
37,495,0,6,7,0
38,485,0,6,8,0
39,481,0,6,8,0
40,485,0,7,8,0
41,498,0,8,7,0
42,503,0,10,6,0
43,485,0,8,7,0
44,497,0,6,6,0
45,505,0,5,7,0
46,506,0,4,8,0
47,499,0,4,8,0
48,503,0,5,8,0
49,495,0,5,8,0
50,482,0,6,8,0
51,467,0,6,8,0
52,482,0,5,9,0
53,480,0,4,10,0
54,477,0,5,10,0
55,475,0,4,11,0
56,463,0,3,11,0
57,460,0,6,11,0
58,462,0,7,12,0
59,460,0,8,11,0
60,474,0,8,12,0
61,464,0,7,13,0
62,470,0,7,12,0
63,472,0,9,13,0
64,480,0,8,14,0
65,486,0,7,13,0
66,485,0,6,12,0
67,496,0,6,12,0
68,507,0,6,12,0
69,506,0,6,14,0
70,529,0,5,14,0
71,535,0,6,12,0
72,542,0,5,11,0
73,560,0,4,12,0
74,572,0,3,12,0
75,550,0,6,12,0
76,541,0,7,12,0
77,551,0,6,13,0
78,537,0,7,14,0
79,513,0,10,13,0
80,516,0,7,16,0
81,522,0,5,18,0
82,523,0,3,18,0
83,515,0,2,16,0
84,513,0,2,15,0
85,514,0,1,15,0
86,516,0,2,13,0
87,514,0,1,13,0
88,500,0,2,14,0
89,502,0,2,13,0
90,493,0,2,13,0
91,491,0,1,13,0
92,463,0,2,12,0
93,467,0,1,11,0
94,451,0,2,11,0
95,438,0,2,11,0
96,439,0,3,10,0
97,434,0,2,11,0
98,426,0,2,10,0
99,422,0,3,11,0
100,441,0,3,11,0
