Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,17,3,4,0,0
2,48,5,4,0,0
3,80,7,5,0,0
4,90,5,7,0,0
5,100,5,8,1,0
6,122,3,9,2,0
7,141,4,6,5,0
8,168,5,6,5,0
9,176,5,8,5,0
10,194,4,8,7,0
11,214,2,12,7,0
12,228,5,12,7,0
13,236,4,13,9,0
14,256,4,14,10,0
15,272,4,14,11,0
16,275,4,14,12,0
17,293,8,12,14,0
18,321,8,11,16,0
19,337,9,11,16,0
20,362,7,16,16,0
21,380,8,17,17,0
22,392,10,18,19,0
23,410,9,17,21,0
24,398,11,16,20,0
25,401,14,22,22,0
26,392,19,26,23,0
27,393,24,34,20,0
28,374,52,39,20,0
29,335,67,53,25,0
30,331,51,71,27,0
31,312,39,78,32,0
32,318,36,78,38,0
33,313,35,74,46,0
34,308,40,67,55,0
35,300,48,74,63,0
36,290,51,85,66,0
37,296,46,91,68,0
38,303,45,98,70,0
39,291,33,104,78,0
40,294,28,103,81,0
41,274,52,108,88,0
42,249,73,106,88,0
43,234,69,109,100,0
44,209,86,118,105,0
45,170,97,129,108,0
46,138,98,147,116,0
47,126,87,162,128,0
48,120,86,160,140,0
49,111,72,166,137,0
50,116,63,163,144,0
51,109,56,155,155,0
52,129,41,150,169,0
53,144,28,148,169,0
54,143,29,144,173,0
55,142,22,131,178,0
56,157,20,116,181,0
57,173,15,105,180,0
58,177,14,91,178,0
59,186,17,77,168,0
60,193,22,67,167,0
61,200,15,68,160,0
62,197,16,67,150,0
63,213,23,66,137,0
64,214,26,64,125,0
65,207,24,63,111,0
66,230,21,60,95,0
67,247,19,61,92,0
68,262,14,58,87,0
69,267,13,50,82,0
70,294,7,50,80,0
71,302,10,46,74,0
72,295,17,41,72,0
73,288,13,40,71,0
74,280,10,37,69,0
75,297,9,36,68,0
76,303,6,34,66,0
77,306,8,31,63,0
78,307,4,30,60,0
79,293,9,20,66,0
80,303,5,18,69,0
81,309,4,18,65,0
82,320,2,18,65,0
83,327,2,18,61,0
84,340,3,14,60,0
85,340,4,13,56,0
86,348,4,15,51,0
87,336,6,17,46,0
88,332,2,18,45,0
89,333,2,18,42,0
90,330,2,15,38,0
91,350,0,15,36,0
92,350,0,14,37,0
93,340,1,11,35,0
94,335,0,9,33,0
95,341,1,9,31,0
96,344,1,8,31,0
97,369,1,6,32,0
98,369,1,5,32,0
99,381,2,3,32,0
100,395,2,3,32,0
