Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,16,0,0,0,0
3,22,0,0,0,0
4,38,0,0,0,0
5,55,0,0,0,0
6,91,0,0,0,0
7,96,0,0,0,0
8,103,0,0,0,0
9,111,0,0,0,0
10,139,0,0,0,0
11,185,0,0,0,0
12,218,0,0,0,0
13,231,0,0,0,0
14,253,0,0,0,0
15,272,0,0,0,0
16,285,0,0,0,0
17,303,0,0,0,0
18,332,0,0,0,1
19,344,0,0,0,2
20,347,0,0,0,2
21,368,1,0,0,2
22,418,5,0,0,3
23,441,13,0,0,3
24,460,24,0,0,3
25,476,38,0,0,3
26,495,54,0,0,3
27,510,70,0,0,3
28,533,93,0,0,3
29,561,106,0,0,4
30,584,121,0,0,4
31,612,145,0,0,4
32,620,170,0,0,6
33,643,203,0,0,6
34,664,225,0,0,6
35,692,245,0,0,6
36,734,269,0,0,6
37,749,287,0,0,6
38,750,299,0,0,6
39,771,324,0,0,6
40,791,342,0,0,6
41,816,353,0,0,6
42,837,378,0,0,6
43,854,399,0,0,6
44,855,417,0,0,6
45,872,440,0,0,6
46,885,470,0,0,6
47,905,486,0,0,6
48,926,500,0,0,6
49,928,522,0,0,6
50,949,539,0,0,6
51,964,565,0,0,7
52,1006,589,0,0,8
53,1036,616,0,0,8
54,1074,638,0,0,9
55,1101,660,0,0,9
56,1119,684,0,0,9
57,1136,709,0,0,9
58,1144,723,0,0,9
59,1156,747,0,0,9
60,1179,770,0,0,9
61,1191,781,0,0,9
62,1197,800,0,0,9
63,1202,816,0,0,9
64,1220,837,0,0,9
65,1240,850,0,0,9
66,1266,865,0,0,9
67,1293,884,0,0,9
68,1296,899,0,0,9
69,1306,915,0,0,12
70,1320,930,0,0,13
71,1345,946,0,0,14
72,1354,968,0,0,14
73,1381,997,0,0,14
74,1408,1029,0,0,14
75,1433,1058,0,0,14
76,1456,1082,0,0,15
77,1480,1105,0,0,15
78,1506,1127,0,0,16
79,1524,1147,0,0,16
80,1527,1161,0,0,16
81,1563,1173,0,0,16
82,1599,1181,0,0,17
83,1617,1190,0,0,17
84,1649,1200,0,0,19
85,1671,1218,0,0,20
86,1697,1234,0,0,21
87,1706,1249,0,0,22
88,1716,1272,0,0,22
89,1757,1283,0,0,22
90,1774,1299,0,0,22
91,1793,1315,0,0,22
92,1810,1339,0,0,23
93,1831,1356,0,0,23
94,1848,1375,0,0,24
95,1877,1399,0,0,24
96,1896,1432,0,0,24
97,1927,1459,0,0,24
98,1948,1472,0,0,24
99,1969,1489,0,0,24
100,1999,1489,0,0,24
