Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,28,0,0,0,0
3,50,0,0,0,0
4,53,0,0,0,0
5,70,0,0,0,0
6,92,0,0,0,0
7,106,0,0,0,1
8,125,0,0,0,1
9,146,0,0,0,1
10,155,0,0,0,1
11,192,0,0,0,1
12,213,0,0,0,1
13,243,0,0,0,1
14,282,0,0,0,1
15,292,0,0,0,1
16,308,0,0,0,1
17,363,1,0,0,1
18,370,2,0,0,1
19,380,2,0,0,2
20,406,5,0,0,2
21,435,11,0,0,2
22,462,17,0,0,2
23,463,26,0,0,2
24,479,43,0,0,2
25,488,56,0,0,2
26,489,68,0,0,2
27,508,82,0,0,2
28,526,104,0,0,2
29,537,121,0,0,2
30,570,138,0,0,3
31,582,158,0,0,3
32,586,184,0,0,3
33,608,211,0,0,3
34,625,240,0,0,3
35,652,262,0,0,3
36,653,288,0,0,3
37,671,308,0,0,4
38,687,330,0,0,4
39,710,350,0,0,4
40,730,380,0,0,4
41,745,406,0,0,4
42,762,423,0,0,4
43,768,442,0,0,4
44,795,455,0,0,4
45,804,463,0,0,4
46,822,477,0,0,4
47,843,489,0,0,4
48,853,508,0,0,5
49,873,525,0,0,5
50,902,541,0,0,5
51,910,560,0,0,5
52,915,581,0,0,5
53,939,590,0,0,5
54,953,602,0,0,5
55,964,621,0,0,5
56,978,639,0,0,5
57,996,653,0,0,5
58,1016,670,0,0,5
59,1042,680,0,0,5
60,1069,693,0,0,6
61,1095,716,0,0,6
62,1127,747,0,0,6
63,1147,756,0,0,6
64,1173,767,0,0,7
65,1186,782,0,0,7
66,1218,794,0,0,7
67,1240,815,0,0,8
68,1266,837,0,0,8
69,1294,855,0,0,9
70,1311,868,0,0,9
71,1324,881,0,0,9
72,1356,894,0,0,9
73,1380,913,0,0,9
74,1399,924,0,0,10
75,1400,945,0,0,11
76,1440,965,0,0,11
77,1458,977,0,0,11
78,1467,994,0,0,11
79,1486,1020,0,0,12
80,1490,1041,0,0,13
81,1518,1064,0,0,13
82,1547,1089,0,0,13
83,1562,1111,0,0,13
84,1584,1138,0,0,13
85,1587,1157,0,0,13
86,1605,1184,0,0,14
87,1616,1210,0,0,14
88,1643,1234,0,0,14
89,1663,1250,0,0,14
90,1671,1273,0,0,14
91,1702,1299,0,0,16
92,1719,1323,0,0,17
93,1743,1340,0,0,17
94,1765,1371,0,0,17
95,1787,1390,0,0,17
96,1817,1410,0,0,17
97,1828,1429,0,0,18
98,1858,1447,0,0,18
99,1880,1459,0,0,18
100,1893,1459,0,0,18
