Day,Susceptible,Exposed,Infected,Recovered,Died
0,20,0,4,0,0
1,17,0,6,1,0
2,42,0,7,1,0
3,54,0,10,3,0
4,87,0,11,5,0
5,87,0,10,7,0
6,125,0,12,7,0
7,130,0,10,9,0
8,138,0,9,10,0
9,156,0,15,10,0
10,188,0,20,13,0
11,208,0,18,15,0
12,218,0,21,17,0
13,246,0,23,18,0
14,263,0,22,20,0
15,275,0,26,20,0
16,294,0,26,24,0
17,308,0,37,26,0
18,313,0,63,29,0
19,339,0,66,35,0
20,334,0,75,41,0
21,334,0,78,44,0
22,337,0,81,51,0
23,339,0,78,58,0
24,318,0,85,65,0
25,300,0,83,68,0
26,292,0,83,71,0
27,280,0,97,71,0
28,280,0,97,81,0
29,278,0,95,85,0
30,280,0,83,95,0
31,274,0,92,95,0
32,252,0,119,99,0
33,220,0,131,107,0
34,194,0,149,108,0
35,192,0,141,116,0
36,195,0,129,122,0
37,176,0,116,139,0
38,166,0,106,139,0
39,186,0,96,140,0
40,186,0,96,138,0
41,207,0,90,138,0
42,221,0,91,144,0
43,238,0,81,147,0
44,246,0,72,149,0
45,257,0,62,153,0
46,267,0,53,150,0
47,279,0,55,143,0
48,275,0,53,137,0
49,301,0,48,142,0
50,287,0,56,141,0
51,296,0,55,139,0
52,296,0,50,136,0
53,311,0,47,128,0
54,313,0,51,110,0
55,312,0,48,106,0
56,334,0,49,98,0
57,326,0,46,96,0
58,332,0,48,95,0
59,342,0,42,92,0
60,333,0,40,87,0
61,315,0,40,78,0
62,318,0,40,70,0
63,335,0,36,65,0
64,304,0,43,61,0
65,303,0,44,57,0
66,302,0,35,59,0
67,299,0,29,57,0
68,303,0,30,55,0
69,324,0,30,53,0
70,325,0,29,53,0
71,307,0,25,53,0
72,308,0,22,50,0
73,302,0,17,52,0
74,302,0,14,51,0
75,285,0,12,49,0
76,297,0,11,47,0
77,310,0,12,43,0
78,308,0,12,43,0
79,336,0,10,38,0
80,338,0,11,36,0
81,348,0,8,38,0
82,359,0,8,38,0
83,359,0,7,38,0
84,375,0,8,36,0
85,402,0,6,33,0
86,413,0,8,32,0
87,421,0,9,29,0
88,432,0,8,29,0
89,433,0,9,28,0
90,430,0,7,29,0
91,434,0,6,30,0
92,434,0,7,29,0
93,430,0,10,29,0
94,436,0,8,31,0
95,454,0,10,30,0
96,471,0,10,30,0
97,484,0,10,31,0
98,475,0,9,32,0
99,479,0,12,31,0
100,489,0,12,31,0
